frame,person_id,kp_idx,kp_x,kp_y,conf,clip
0,presenter,0,559.06689453125,912.238037109375,0.0661039799451828,clip1_presenter
0,presenter,1,519.9149169921875,878.92919921875,0.03051561862230301,clip1_presenter
0,presenter,2,592.3535766601562,857.3707885742188,0.049257878214120865,clip1_presenter
0,presenter,3,416.7010192871094,932.8836059570312,0.49456584453582764,clip1_presenter
0,presenter,4,694.4542846679688,886.1785278320312,0.7580710649490356,clip1_presenter
0,presenter,5,327.91058349609375,1266.726806640625,0.6969308257102966,clip1_presenter
0,presenter,6,908.8070068359375,1148.9290771484375,0.8299684524536133,clip1_presenter
0,presenter,7,330.8626403808594,1440.0,0.05163414031267166,clip1_presenter
0,presenter,8,1005.541259765625,1356.9764404296875,0.1883726716041565,clip1_presenter
0,presenter,9,451.922119140625,1355.7713623046875,0.0209891926497221,clip1_presenter
0,presenter,10,826.9749145507812,1259.7091064453125,0.06955095380544662,clip1_presenter
0,presenter,11,468.3302001953125,1440.0,0.03093048930168152,clip1_presenter
0,presenter,12,891.8746948242188,1440.0,0.054094891995191574,clip1_presenter
0,presenter,13,475.8730163574219,1336.240234375,0.021573401987552643,clip1_presenter
0,presenter,14,919.0610961914062,1159.02587890625,0.036449626088142395,clip1_presenter
0,presenter,15,439.76910400390625,1440.0,0.0140350591391325,clip1_presenter
0,presenter,16,856.6635131835938,1440.0,0.021584689617156982,clip1_presenter
1,presenter,0,594.475830078125,914.400146484375,0.07315556704998016,clip1_presenter
1,presenter,1,549.833984375,881.177734375,0.03069981560111046,clip1_presenter
1,presenter,2,622.7411499023438,860.5574340820312,0.05798467621207237,clip1_presenter
1,presenter,3,423.5226135253906,935.5162353515625,0.4660131633281708,clip1_presenter
1,presenter,4,699.8478393554688,892.0477294921875,0.7820721864700317,clip1_presenter
1,presenter,5,331.34930419921875,1265.0682373046875,0.695582926273346,clip1_presenter
1,presenter,6,916.2216186523438,1149.28564453125,0.8352786898612976,clip1_presenter
1,presenter,7,337.5075378417969,1440.0,0.0518857017159462,clip1_presenter
1,presenter,8,1016.483642578125,1346.0379638671875,0.19604752957820892,clip1_presenter
1,presenter,9,462.10235595703125,1356.8953857421875,0.02166338637471199,clip1_presenter
1,presenter,10,835.9031982421875,1240.579833984375,0.07523723691701889,clip1_presenter
1,presenter,11,476.9581604003906,1440.0,0.031055551022291183,clip1_presenter
1,presenter,12,902.9769897460938,1440.0,0.05492508411407471,clip1_presenter
1,presenter,13,480.72003173828125,1342.594970703125,0.021514955908060074,clip1_presenter
1,presenter,14,930.5113525390625,1161.947021484375,0.03685753047466278,clip1_presenter
1,presenter,15,423.2261962890625,1440.0,0.013950232416391373,clip1_presenter
1,presenter,16,849.6222534179688,1440.0,0.021725017577409744,clip1_presenter
2,presenter,0,599.4588623046875,903.2957763671875,0.0692359209060669,clip1_presenter
2,presenter,1,553.697265625,872.3375244140625,0.029567860066890717,clip1_presenter
2,presenter,2,624.1134033203125,853.244140625,0.0636744424700737,clip1_presenter
2,presenter,3,422.39453125,932.9932861328125,0.5306212902069092,clip1_presenter
2,presenter,4,697.78173828125,890.8941040039062,0.8092575073242188,clip1_presenter
2,presenter,5,335.6112060546875,1251.4215087890625,0.7346290349960327,clip1_presenter
2,presenter,6,917.2891845703125,1141.84033203125,0.8278775215148926,clip1_presenter
2,presenter,7,342.8548583984375,1440.0,0.047817885875701904,clip1_presenter
2,presenter,8,983.4547119140625,1385.9814453125,0.1775396317243576,clip1_presenter
2,presenter,9,478.1748962402344,1341.68896484375,0.018405279144644737,clip1_presenter
2,presenter,10,870.0535278320312,1307.4013671875,0.06293387711048126,clip1_presenter
2,presenter,11,451.5034484863281,1440.0,0.031933654099702835,clip1_presenter
2,presenter,12,889.8370971679688,1440.0,0.05168725177645683,clip1_presenter
2,presenter,13,522.3416748046875,1309.8165283203125,0.022403497248888016,clip1_presenter
2,presenter,14,958.6355590820312,1117.0626220703125,0.038862332701683044,clip1_presenter
2,presenter,15,430.6231384277344,1440.0,0.016443055123090744,clip1_presenter
2,presenter,16,831.924560546875,1440.0,0.025504475459456444,clip1_presenter
3,presenter,0,590.4998779296875,894.87841796875,0.06829915940761566,clip1_presenter
3,presenter,1,546.9253540039062,865.1253051757812,0.03057759627699852,clip1_presenter
3,presenter,2,617.6419677734375,844.2472534179688,0.06040845438838005,clip1_presenter
3,presenter,3,425.3529357910156,928.9744873046875,0.554659903049469,clip1_presenter
3,presenter,4,705.83984375,882.93798828125,0.8056557178497314,clip1_presenter
3,presenter,5,338.03082275390625,1253.9735107421875,0.741963803768158,clip1_presenter
3,presenter,6,926.3819580078125,1137.2938232421875,0.8252453804016113,clip1_presenter
3,presenter,7,336.7395935058594,1440.0,0.04734246805310249,clip1_presenter
3,presenter,8,988.681396484375,1388.411865234375,0.1690635234117508,clip1_presenter
3,presenter,9,478.60406494140625,1353.3763427734375,0.018069662153720856,clip1_presenter
3,presenter,10,870.9581909179688,1323.37109375,0.05893805995583534,clip1_presenter
3,presenter,11,450.76910400390625,1440.0,0.031245157122612,clip1_presenter
3,presenter,12,895.0943603515625,1440.0,0.04987778514623642,clip1_presenter
3,presenter,13,502.13995361328125,1310.4031982421875,0.022508108988404274,clip1_presenter
3,presenter,14,950.3651123046875,1112.0516357421875,0.038144249469041824,clip1_presenter
3,presenter,15,417.0283508300781,1440.0,0.016551857814192772,clip1_presenter
3,presenter,16,841.9115600585938,1440.0,0.025208190083503723,clip1_presenter
4,presenter,0,596.6331176757812,887.88330078125,0.06885655969381332,clip1_presenter
4,presenter,1,552.3397216796875,858.307373046875,0.030408702790737152,clip1_presenter
4,presenter,2,624.0023193359375,837.3817138671875,0.06060207635164261,clip1_presenter
4,presenter,3,428.90032958984375,924.74462890625,0.5559605360031128,clip1_presenter
4,presenter,4,711.073486328125,878.8599853515625,0.8089011907577515,clip1_presenter
4,presenter,5,342.6591796875,1254.3189697265625,0.7448224425315857,clip1_presenter
4,presenter,6,930.26123046875,1139.4136962890625,0.827419102191925,clip1_presenter
4,presenter,7,337.3830871582031,1440.0,0.0473177470266819,clip1_presenter
4,presenter,8,996.3477783203125,1393.879638671875,0.16806820034980774,clip1_presenter
4,presenter,9,477.57720947265625,1362.6317138671875,0.017904462292790413,clip1_presenter
4,presenter,10,886.8616333007812,1339.6881103515625,0.057524681091308594,clip1_presenter
4,presenter,11,458.6505126953125,1440.0,0.0310373418033123,clip1_presenter
4,presenter,12,902.676025390625,1440.0,0.049508363008499146,clip1_presenter
4,presenter,13,502.31768798828125,1314.9342041015625,0.022385768592357635,clip1_presenter
4,presenter,14,953.9793701171875,1117.38330078125,0.03768238425254822,clip1_presenter
4,presenter,15,411.97039794921875,1440.0,0.016321666538715363,clip1_presenter
4,presenter,16,846.6214599609375,1440.0,0.02475212886929512,clip1_presenter
5,presenter,0,616.6051025390625,883.259033203125,0.06668700277805328,clip1_presenter
5,presenter,1,573.1661376953125,860.948486328125,0.0345991775393486,clip1_presenter
5,presenter,2,644.1337280273438,834.8572998046875,0.048329975455999374,clip1_presenter
5,presenter,3,442.49835205078125,927.7908935546875,0.6447141766548157,clip1_presenter
5,presenter,4,722.0101318359375,871.369384765625,0.762201726436615,clip1_presenter
5,presenter,5,359.61920166015625,1252.252685546875,0.8586828112602234,clip1_presenter
5,presenter,6,928.2364501953125,1124.773193359375,0.832978367805481,clip1_presenter
5,presenter,7,327.4088134765625,1440.0,0.0991743728518486,clip1_presenter
5,presenter,8,991.3995361328125,1419.0185546875,0.13946528732776642,clip1_presenter
5,presenter,9,453.07421875,1310.087890625,0.032621998339891434,clip1_presenter
5,presenter,10,869.5245971679688,1317.508544921875,0.04662400856614113,clip1_presenter
5,presenter,11,517.3397827148438,1440.0,0.028079740703105927,clip1_presenter
5,presenter,12,947.67578125,1440.0,0.03215458244085312,clip1_presenter
5,presenter,13,455.5941467285156,1288.9608154296875,0.013474942184984684,clip1_presenter
5,presenter,14,934.5648803710938,1103.6419677734375,0.01566881127655506,clip1_presenter
5,presenter,15,414.7666320800781,1440.0,0.00616362364962697,clip1_presenter
5,presenter,16,855.60498046875,1365.725341796875,0.007319652941077948,clip1_presenter
6,presenter,0,604.8318481445312,886.7639770507812,0.07043105363845825,clip1_presenter
6,presenter,1,564.18505859375,863.3875122070312,0.0395645909011364,clip1_presenter
6,presenter,2,635.9733276367188,838.673583984375,0.0438041053712368,clip1_presenter
6,presenter,3,449.3121337890625,925.58837890625,0.6873414516448975,clip1_presenter
6,presenter,4,727.1364135742188,870.302978515625,0.7489024996757507,clip1_presenter
6,presenter,5,375.3155212402344,1241.74755859375,0.8956772089004517,clip1_presenter
6,presenter,6,932.171630859375,1121.521484375,0.8445314168930054,clip1_presenter
6,presenter,7,316.194580078125,1440.0,0.15034739673137665,clip1_presenter
6,presenter,8,992.29736328125,1425.299560546875,0.14283005893230438,clip1_presenter
6,presenter,9,319.36224365234375,1380.938720703125,0.043303895741701126,clip1_presenter
6,presenter,10,844.9522705078125,1344.3017578125,0.048255372792482376,clip1_presenter
6,presenter,11,525.8386840820312,1440.0,0.03404302895069122,clip1_presenter
6,presenter,12,949.0537109375,1440.0,0.03455616906285286,clip1_presenter
6,presenter,13,435.7368469238281,1292.9471435546875,0.013702204450964928,clip1_presenter
6,presenter,14,935.7216796875,1112.4979248046875,0.014139453880488873,clip1_presenter
6,presenter,15,383.68426513671875,1440.0,0.005554769653826952,clip1_presenter
6,presenter,16,867.2088623046875,1377.0360107421875,0.006093598902225494,clip1_presenter
7,presenter,0,577.2720947265625,892.4859619140625,0.05738064646720886,clip1_presenter
7,presenter,1,544.33056640625,869.0537109375,0.0378982312977314,clip1_presenter
7,presenter,2,611.66015625,843.1302490234375,0.03556651994585991,clip1_presenter
7,presenter,3,453.97711181640625,929.1859130859375,0.7153957486152649,clip1_presenter
7,presenter,4,727.6024169921875,870.0364379882812,0.6870253086090088,clip1_presenter
7,presenter,5,367.98516845703125,1254.2919921875,0.8657029867172241,clip1_presenter
7,presenter,6,937.505615234375,1124.750732421875,0.816132664680481,clip1_presenter
7,presenter,7,329.0128173828125,1440.0,0.10236436873674393,clip1_presenter
7,presenter,8,1000.3375244140625,1423.567626953125,0.1188763827085495,clip1_presenter
7,presenter,9,457.25927734375,1301.475341796875,0.03226253762841225,clip1_presenter
7,presenter,10,900.4092407226562,1329.42138671875,0.03670009225606918,clip1_presenter
7,presenter,11,508.642333984375,1440.0,0.029563240706920624,clip1_presenter
7,presenter,12,938.1858520507812,1440.0,0.031443145126104355,clip1_presenter
7,presenter,13,434.26812744140625,1279.799072265625,0.014005443081259727,clip1_presenter
7,presenter,14,926.5232543945312,1106.4326171875,0.01510787196457386,clip1_presenter
7,presenter,15,443.35394287109375,1440.0,0.006435705814510584,clip1_presenter
7,presenter,16,891.5879516601562,1360.882080078125,0.007273997645825148,clip1_presenter
8,presenter,0,584.8727416992188,889.4510498046875,0.057005126029253006,clip1_presenter
8,presenter,1,550.826416015625,864.8602905273438,0.0379365012049675,clip1_presenter
8,presenter,2,619.6062622070312,839.63623046875,0.035122569650411606,clip1_presenter
8,presenter,3,457.4114990234375,923.212646484375,0.716579020023346,clip1_presenter
8,presenter,4,733.7120971679688,865.4313354492188,0.6910087466239929,clip1_presenter
8,presenter,5,375.8754577636719,1250.44775390625,0.8715550899505615,clip1_presenter
8,presenter,6,943.0760498046875,1123.09033203125,0.8130603432655334,clip1_presenter
8,presenter,7,340.0001220703125,1440.0,0.10660801082849503,clip1_presenter
8,presenter,8,1001.6566772460938,1421.0882568359375,0.11221668124198914,clip1_presenter
8,presenter,9,455.64068603515625,1307.5306396484375,0.03254087641835213,clip1_presenter
8,presenter,10,891.8919677734375,1327.59912109375,0.03441998362541199,clip1_presenter
8,presenter,11,516.2799682617188,1440.0,0.03020535223186016,clip1_presenter
8,presenter,12,945.6495971679688,1440.0,0.031207634136080742,clip1_presenter
8,presenter,13,436.22662353515625,1275.23828125,0.014469045214354992,clip1_presenter
8,presenter,14,926.4638671875,1102.0384521484375,0.015102969482541084,clip1_presenter
8,presenter,15,435.70635986328125,1440.0,0.006673737894743681,clip1_presenter
8,presenter,16,882.9803466796875,1360.158935546875,0.007377832196652889,clip1_presenter
9,presenter,0,608.0639038085938,890.8992309570312,0.06153304502367973,clip1_presenter
9,presenter,1,570.2609252929688,866.69384765625,0.03713066503405571,clip1_presenter
9,presenter,2,639.362548828125,841.3334350585938,0.0403112955391407,clip1_presenter
9,presenter,3,460.74334716796875,925.4693603515625,0.6917680501937866,clip1_presenter
9,presenter,4,736.0196533203125,868.6923828125,0.7249974608421326,clip1_presenter
9,presenter,5,376.7777099609375,1249.635009765625,0.8762303590774536,clip1_presenter
9,presenter,6,946.11767578125,1122.80615234375,0.8199619650840759,clip1_presenter
9,presenter,7,348.3419494628906,1440.0,0.11250190436840057,clip1_presenter
9,presenter,8,1014.4458618164062,1417.33154296875,0.11945921927690506,clip1_presenter
9,presenter,9,479.7651672363281,1306.8988037109375,0.03495091199874878,clip1_presenter
9,presenter,10,916.3425903320312,1333.93017578125,0.03709794580936432,clip1_presenter
9,presenter,11,524.80322265625,1440.0,0.031041480600833893,clip1_presenter
9,presenter,12,955.6392822265625,1440.0,0.03195352479815483,clip1_presenter
9,presenter,13,460.4180908203125,1282.525390625,0.01450897753238678,clip1_presenter
9,presenter,14,949.629638671875,1104.52490234375,0.01512609701603651,clip1_presenter
9,presenter,15,440.78070068359375,1440.0,0.006521044299006462,clip1_presenter
9,presenter,16,886.8212890625,1360.4444580078125,0.007214274723082781,clip1_presenter
10,presenter,0,621.0438232421875,883.345458984375,0.061738669872283936,clip1_presenter
10,presenter,1,582.30419921875,858.4788208007812,0.035960204899311066,clip1_presenter
10,presenter,2,651.5531005859375,833.3599853515625,0.04067043587565422,clip1_presenter
10,presenter,3,467.4006042480469,917.2127685546875,0.685206413269043,clip1_presenter
10,presenter,4,742.7193603515625,861.2794189453125,0.7348330020904541,clip1_presenter
10,presenter,5,382.33673095703125,1244.3238525390625,0.8802387118339539,clip1_presenter
10,presenter,6,950.1312255859375,1118.26025390625,0.8242542743682861,clip1_presenter
10,presenter,7,351.36175537109375,1440.0,0.11475513875484467,clip1_presenter
10,presenter,8,1020.7213134765625,1419.4293212890625,0.11960605531930923,clip1_presenter
